Microsoft (R) COFF/PE Dumper Version 11.00.50727.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    55635475 time date stamp Mon May 25 12:57:25 2015
        0.00 version
           1 ordinal base
        1994 number of functions
        1986 number of names

    ordinal hint RVA      name

        465  1C8 0004EF80 NtRemoveProcessDebug
        466  1C9 0004EF90 NtRenameKey
        467  1CA 0004EFA0 NtRenameTransactionManager
        468  1CB 0004EFB0 NtReplaceKey
        469  1CC 0004EFC0 NtReplacePartitionUnit
        470  1CD 0004DC70 NtReplyPort
        471  1CE 0004DC60 NtReplyWaitReceivePort
        472  1CF 0004DE60 NtReplyWaitReceivePortEx
        473  1D0 0004EFD0 NtReplyWaitReplyPort
        474  1D1 0004EFE0 NtRequestPort
        475  1D2 0004DDD0 NtRequestWaitReplyPort
        476  1D3 0004EFF0 NtResetEvent
        477  1D4 0004F000 NtResetWriteWatch
        478  1D5 0004F010 NtRestoreKey
        479  1D6 0004F020 NtResumeProcess
        480  1D7 0004E0D0 NtResumeThread
        481  1D8 0004F030 NtRollbackComplete
        482  1D9 0004F040 NtRollbackEnlistment
        483  1DA 0004F050 NtRollbackTransaction
        484  1DB 0004F060 NtRollforwardTransactionManager
        485  1DC 0004F070 NtSaveKey
        486  1DD 0004F080 NtSaveKeyEx
        487  1DE 0004F090 NtSaveMergedKeys
        488  1DF 0004F0A0 NtSecureConnectPort
        489  1E0 0004F0B0 NtSerializeBoot
        490  1E1 0004F0C0 NtSetBootEntryOrder
        491  1E2 0004F0D0 NtSetBootOptions
        492  1E3 0004F0E0 NtSetContextThread
        493  1E4 0004F0F0 NtSetDebugFilterState
        494  1E5 0004F100 NtSetDefaultHardErrorPort
        495  1E6 0004F110 NtSetDefaultLocale
        496  1E7 0004F120 NtSetDefaultUILanguage
        497  1E8 0004F130 NtSetDriverEntryOrder
        498  1E9 0004F140 NtSetEaFile
        499  1EA 0004DC90 NtSetEvent
        500  1EB 0004DE80 NtSetEventBoostPriority
        501  1EC 0004F150 NtSetHighEventPair
        502  1ED 0004F160 NtSetHighWaitLowEventPair
        503  1EE 0004F170 NtSetInformationDebugObject
        504  1EF 0004F180 NtSetInformationEnlistment
        505  1F0 0004DE20 NtSetInformationFile
        506  1F1 0004F190 NtSetInformationJobObject
        507  1F2 0004F1A0 NtSetInformationKey
        508  1F3 0004E170 NtSetInformationObject
        509  1F4 0004DD70 NtSetInformationProcess
        510  1F5 0004F1B0 NtSetInformationResourceManager
        511  1F6 0004DC80 NtSetInformationThread
        512  1F7 0004F1C0 NtSetInformationToken
        513  1F8 0004F1D0 NtSetInformationTransaction
        514  1F9 0004F1E0 NtSetInformationTransactionManager
        515  1FA 0004F1F0 NtSetInformationWorkerFactory
        516  1FB 0004F200 NtSetIntervalProfile
        517  1FC 0004F210 NtSetIoCompletion
        518  1FD 0004F220 NtSetIoCompletionEx
        519  1FE 0004F230 NtSetLdtEntries
        520  1FF 0004F240 NtSetLowEventPair
        521  200 0004F250 NtSetLowWaitHighEventPair
        522  201 0004F260 NtSetQuotaInformationFile
        523  202 0004F270 NtSetSecurityObject
        524  203 0004F280 NtSetSystemEnvironmentValue
        525  204 0004F290 NtSetSystemEnvironmentValueEx
        526  205 0004F2A0 NtSetSystemInformation
        527  206 0004F2B0 NtSetSystemPowerState
        528  207 0004F2C0 NtSetSystemTime
        529  208 0004F2D0 NtSetThreadExecutionState
        530  209 0004E1D0 NtSetTimer
        531  20A 0004F2E0 NtSetTimerEx
        532  20B 0004F2F0 NtSetTimerResolution
        533  20C 0004F300 NtSetUuidSeed
        534  20D 0004E1B0 NtSetValueKey
        535  20E 0004F310 NtSetVolumeInformationFile
        536  20F 0004F320 NtShutdownSystem
        537  210 0004F330 NtShutdownWorkerFactory
        538  211 0004F340 NtSignalAndWaitForSingleObject
        539  212 0004F350 NtSinglePhaseReject
        540  213 0004F360 NtStartProfile
        541  214 0004F370 NtStopProfile
        542  215 0004F380 NtSuspendProcess
        543  216 0004F390 NtSuspendThread
        544  217 0004F3A0 NtSystemDebugControl
        545  218 0004F3B0 NtTerminateJobObject
        546  219 0004DE70 NtTerminateProcess
        547  21A 0004E0E0 NtTerminateThread
        548  21B 0004F3C0 NtTestAlert
        549  21C 0004F3D0 NtThawRegistry
        550  21D 0004F3E0 NtThawTransactions
        551  21E 0004F3F0 NtTraceControl
        552  21F 0004E190 NtTraceEvent
        553  220 0004F400 NtTranslateFilePath
        554  221 0004F410 NtUmsThreadYield
        555  222 0004F420 NtUnloadDriver
        556  223 0004F430 NtUnloadKey
        557  224 0004F440 NtUnloadKey2
        558  225 0004F450 NtUnloadKeyEx
